cluster,labels,include,conceptId,category,prefLabel,note
http://id.loc.gov/authorities/genreForms/gf2017027220.,Artists' books.,n,,,,
http://id.worldcat.org/fast/1750153.,Artists' books.,n,,,,
aat|artists-books-books,Artists' books (books) | artists' books (books),n,,,,
http://id.worldcat.org/fast/1423861.,Specimens.,n,,,,
rbmscv|artists-books,Artists' books,n,,,,
http://id.worldcat.org/fast/1423873.,Illustrated works.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026481.,Poetry.,y,poetry,genre-form,Poetry,
lcgft|photography-artistic,"Photography, Artistic.",y,photography,process-technique,Photography,
http://id.worldcat.org/fast/1424028.,Exhibition catalogs.,y,exhibition-catalog,genre-form,Exhibition catalog,
aat|photobooks,Photobooks,y,photobook,genre-form,Photobook,
http://id.worldcat.org/fast/1423828.,Poetry.,y,poetry,,,
http://id.loc.gov/vocabulary/rbmscv/cv00024.,Accordion fold format.,y,accordion-binding,structure-format,Accordion binding,
http://id.worldcat.org/fast/1411628.,History.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026339.,Fiction.,y,fiction,genre-form,Fiction,
abo.org|photographic-sequence,Photographic sequence.,y,photography,,,
abo.org|appropriated-text,Appropriated text.,y,found-text,genre-form,Found text,
http://id.loc.gov/authorities/genreForms/gf2014026144.,Photobooks.,y,photobook,,,
http://id.worldcat.org/fast/1919950.,Photobooks.,y,photobook,,,
http://vocab.getty.edu/aat/300138699.,Collage (technique),y,collage,process-technique,Collage,
http://id.loc.gov/vocabulary/rbmscv/cv01531.,Limitation statements.,n,,,,
http://vocab.getty.edu/aat/300123016.,Artists' books (books),n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv00146.,Artists' books.,n,,,,
abo.org|visual-narrative,Visual narrative.,n,,,,
http://id.worldcat.org/fast/1423831.,Portraits.,n,,,,
http://id.worldcat.org/fast/1919896.,Biographies.,y,biography,genre-form,Biography,
http://id.loc.gov/vocabulary/rbmscv/cv00485.,Corrugated board bindings.,y,corrugated-board-bindings,binding-format,Corrugated board bindings,
http://id.worldcat.org/fast/1423843.,Personal narratives.,n,,,,
http://id.worldcat.org/fast/1411642.,Facsimiles.,y, facsimile,genre-form,Facsimile,
http://id.worldcat.org/fast/1423787.,Fiction.,y,fiction,,,
local|typographic-art,Typographic art.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026588.,Visual poetry.,y,poetry,,,
http://id.worldcat.org/fast/1726771.,Visual poetry.,y,poetry,,,
http://id.loc.gov/vocabulary/rbmscv/cv01435.,Handmade papers.,y,handmade-paper,material,Handmade paper,
http://id.worldcat.org/fast/1423702.,Art.,n,,,,
http://vocab.getty.edu/aat/300200572.,Folded books.,y,folded,structure-format,Folded,
rbmscv|corrugated-board-bindings,Corrugated board bindings. | Corrugated board bindings,y,corrugated-board-bindings,structure-format,Corrugated board bindings,
rbmscv|painted-bindings,Painted bindings,y,paint,material,Paint,
http://id.loc.gov/authorities/genreForms/gf2014026266.,Comics (Graphic works),y,comics,genre-form,Comics,
http://id.worldcat.org/fast/1423689.,Photographs.,y,photography,,,
http://id.worldcat.org/fast/1921613.,Comics (Graphic works),y,comics,,,
rbmscv|limitation-statements,Limitation statements,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026542.,Short stories.,y,short-stories,genre-form,Short stories,
http://vocab.getty.edu/aat/300178688.,Screen prints.,y,screen-printing,process-technique,Screen printing,
http://id.loc.gov/authorities/genreForms/gf2014026170.,Sayings.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026270.,Concrete poetry.,y,poetry,,,
http://id.worldcat.org/fast/1423792.,Quotations.,y,quotations,genre-form,Quotations,
http://id.worldcat.org/fast/1726570.,Concrete poetry.,y,poetry,,,
http://id.worldcat.org/fast/1726766.,Toy and movable books.,n,,,,
http://rdaregistry.info/termList/RDAMaterial/1025.,paper,y,paper,material,Paper,
http://vocab.getty.edu/aat/300068579.,Cut-paper work.,y,cut-paper-work,process-technique,Cut-paper work,
http://id.loc.gov/authorities/genreForms/gf2014026111.,Illustrated works.,n,,,,
http://id.worldcat.org/fast/1411641.,Periodicals.,n,,,,
http://vocab.getty.edu/aat/300041393.,Linocuts (prints),y,linoleum-block-printing,process-technique,Linoleum block printing,
rbmscv|decorated-paper-bindings,Decorated paper bindings,y,decorative-paper,material,Decorative paper,
http://id.loc.gov/authorities/genreForms/gf2014026342.,Folk literature.,n,,,,
rbmscv|zines,Zines,y,zine,genre-form,Zine,
http://id.loc.gov/authorities/genreForms/gf2014026201.,Trivia and miscellanea.,n,,,,
http://id.worldcat.org/fast/1423692.,Catalogs.,n,,,,
http://id.worldcat.org/fast/2008859.,Art and the war.,n,,,,
http://vocab.getty.edu/aat/300178926.,Letterpress printing.,y,letterpress-printing,process-technique,Letterpress printing,
http://vocab.getty.edu/aat/300201034.,Pop-up books.,y,pop-up-element,structure-format,Pop-up element,
https://homosaurus.org/v4/homoit0001102.,LGBTQ+ performance art.,n,,,,
rbmscv|accordion-fold-format,Accordion fold format,y,accordion-binding,,,
http://id.loc.gov/authorities/genreForms/gf2014026110.,Humor.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026210.,Zines.,y,zine,,,
http://id.loc.gov/authorities/genreForms/gf2017027251.,Pictures.,n,,,,
http://id.worldcat.org/fast/1411637.,Juvenile works.,n,,,,
http://id.worldcat.org/fast/1423691.,Caricatures and cartoons.,n,,,,
http://id.worldcat.org/fast/1423784.,Folklore.,n,,,,
http://vocab.getty.edu/aat/300263000.,Spiral bindings.,y,spiral-binding,structure-format,Spiral binding,
rbmscv|fanzines,Fanzines,y,zine,,,
rbmscv|publishers-advertisements,Publishers' advertisements,n,,,,
rbmscv|slipcases,Slipcases,y,slipcase,enclosure,Slipcase,
rbmscv|typefaces-type-evidence,Typefaces (Type evidence),n,,,,
aat|comic-books,Comic books,y,comics,,,
http://id.loc.gov/authorities/genreForms/gf2014026098.,Exhibition catalogs.,y,exhibition-catalog,,,
http://id.loc.gov/authorities/genreForms/gf2014026150.,Pop-up books.,y,pop-up-element,,,
http://id.loc.gov/authorities/genreForms/gf2014026197.,Toy and movable books.,n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv00737.,Slipcases.,y,slipcase,,,
http://id.worldcat.org/fast/1423696.,Humor.,n,,,,
http://id.worldcat.org/fast/1423704.,Maps.,y,map,structure-format,Map,
http://id.worldcat.org/fast/1423705.,Texts.,n,,,,
http://id.worldcat.org/fast/1919987.,Zines.,y,zine,,,
http://id.worldcat.org/fast/1921748.,Trivia and miscellanea.,n,,,,
http://vocab.getty.edu/aat/300041273.,Prints (visual works),n,,,,
lcgft|conceptual-art,Conceptual art.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026151.,Postcards.,y,postcard,structure-format,postcard,
http://id.loc.gov/vocabulary/rbmscv/cv00514.,Dust jackets.,y,dust-jacket,enclosure,Dust jacket,
http://id.worldcat.org/fast/1423832.,Interviews.,n,,,,
http://id.worldcat.org/fast/1423876.,Anecdotes.,n,,,,
http://id.worldcat.org/fast/1726707.,Postcards.,y,postcard,,,
http://id.worldcat.org/fast/1726740.,Short stories.,y,short-stories,,,
http://id.worldcat.org/fast/1919895.,Bibliographies.,n,,,,
http://id.worldcat.org/fast/1919955.,Pop-up books.,y,pop-up-element,,,
http://id.worldcat.org/fast/2003288.,Correspondence.,n,,,,
http://vocab.getty.edu/aat/300014224.,Cardboard.,y,cardboard,material,Cardboard,
http://vocab.getty.edu/aat/300045643.,Boxes (containers),y,box,enclosure,Box,
http://vocab.getty.edu/aat/300411543.,Handmade paper.,y,handmade-paper,,,
https://homosaurus.org/v4/homoit0001321.,Social media.,n,,,,
rbmscv|miniature-books,Miniature books,y,miniature-book,structure-format,Miniature book,
aat|book-objects,Book objects,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026086.,Dictionaries.,y,dictionary,genre-form,Dictionary,
http://id.loc.gov/authorities/genreForms/gf2014026133.,Notebooks.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2015026020.,Novels.,y,novel,genre-form,Novel,
http://id.loc.gov/authorities/genreForms/gf2017027262.,Sketchbooks.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2022026082.,Accordion fold books.,y,accordion-binding,,,
http://id.loc.gov/vocabulary/rbmscv/cv00176.,Authors' autographs.,n,,,,
http://id.worldcat.org/fast/1423765.,Case studies.,n,,,,
http://id.worldcat.org/fast/1423791.,Translations.,n,,,,
http://id.worldcat.org/fast/1423820.,"Notebooks, sketchbooks, etc.",n,,,,
http://rdaregistry.info/termList/RDAMaterial/1045.,wood,y,wood,material,Wood,
http://vocab.getty.edu/aat/300014076.,Burlap.,y,burlap,material,Burlap,
http://vocab.getty.edu/aat/300028629.,Scrolls (information artifacts),y,scroll,structure-format,Scroll,
http://vocab.getty.edu/aat/300041379.,Lithographs.,y,lithography,process-technique,Lithography,
http://vocab.getty.edu/aat/300041405.,Woodcuts (prints),y,woodblock-printing,process-technique,Woodblock printing,
http://vocab.getty.edu/aat/300053281.,Screen printing.,y,screen-printing,,,
http://vocab.getty.edu/aat/300056219.,Translucency.,y,translucent-element,structure-format,Translucent element,
http://vocab.getty.edu/aat/300162391.,Cloth.,y,cloth,material,Cloth,
http://vocab.getty.edu/aat/300201033.,Flip books.,y,flip-book,structure-format,Flip book,
http://vocab.getty.edu/aat/300257411.,Cutouts.,y,cutout,,,
http://vocab.getty.edu/aat/300438814.,Accordion books.,y,accordion-binding,,,
https://homosaurus.org/v4/homoit0001378.,Transgender people.,n,,,,
https://homosaurus.org/v4/homoit0001381.,Transsexual people.,n,,,,
lcgft|collage,Collage.,y,collage,,,
lcgft|documentary-photography,Documentary photography.,y,photography,,,
lcgft|performance-art,Performance art.,n,,,,
local|asemic-writing,Asemic writing.,y,asemic-writing,process-technique,Asemic writing,
rbmscv|handmade-papers,Handmade papers,y,handmade-paper,,,
rbmscv|private-press-books,Private press books,n,,,,
aat|documentary-photography,Documentary photography,y,photography,,,
aat|fanzines,Fanzines,y,zine,,,
fast|artists-books,Artists' books.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026047.,Autobiographies.,y,biography,,,
http://id.loc.gov/authorities/genreForms/gf2014026084.,Derivative works.,y,found-text,,,
http://id.loc.gov/authorities/genreForms/gf2014026105.,Flip books.,y,flip-book,,,
http://id.loc.gov/authorities/genreForms/gf2014026142.,Personal narratives.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026158.,Puzzles and games.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026346.,Found poetry.,y,found-text,,,
http://id.loc.gov/authorities/genreForms/gf2014026543.,Flash fiction.,y,fiction,,,
http://id.loc.gov/authorities/subjects/sh85008302.,Artists' books.,n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv00867.,Miniature books.,y,miniature-book,,,
http://id.loc.gov/vocabulary/rbmscv/cv01163.,Concrete poems.,y,poetry,,,
http://id.loc.gov/vocabulary/rbmscv/cv01881.,Shaped books.,y,sculptural-bookwork,structure-format,Sculptural bookwork,
http://id.worldcat.org/fast/1411635.,"Criticism, interpretation, etc.",n,,,,
http://id.worldcat.org/fast/1423821.,Obituaries.,y,obituary,genre-form,Obituary,
http://id.worldcat.org/fast/1423826.,Dictionaries.,y,dictionary,,,
http://id.worldcat.org/fast/1423840.,"Parodies, imitations, etc.",n,,,,
http://id.worldcat.org/fast/1423877.,Handbooks and manuals.,y,guide-manual,genre-format,Guide or manual,
http://id.worldcat.org/fast/1423880.,Terminology.,n,,,,
http://id.worldcat.org/fast/1919894.,Autobiographies.,y,biography,,,
http://id.worldcat.org/fast/1919958.,Puzzles and games.,n,,,,
http://id.worldcat.org/fast/1921663.,Found poetry.,y,found-text,,,
http://id.worldcat.org/fast/1922440.,Flash fiction.,y,fiction,,,
http://rdaregistry.info/termList/RDAMaterial/1006.,cardboard,y,cardboard,,,
http://rdaregistry.info/termList/RDAMaterial/1022.,metal,y,metal,material,Metal,
http://vocab.getty.edu/aat/300014145.,Tissue paper.,y,tissue-paper,material,Tissue paper,
http://vocab.getty.edu/aat/300014247.,Cord (fiber product),y,cord,material,Cord,
http://vocab.getty.edu/aat/300014252.,Yarn.,y,yarn,material,Yarn,
http://vocab.getty.edu/aat/300014341.,Sand.,y,natural-material,material,Natural material,
http://vocab.getty.edu/aat/300014668.,Ribbon (material),y,ribbon,material,Ribbon,
http://vocab.getty.edu/aat/300026819.,Picture postcards.,y,postcard,,,
http://vocab.getty.edu/aat/300028705.,Signatures (names),n,,,,
http://vocab.getty.edu/aat/300041391.,Relief prints.,y,relief-printing,process-technique,Relief printing,
http://vocab.getty.edu/aat/300041523.,Embossed prints.,y,embossing,process-technique,Embossing,
http://vocab.getty.edu/aat/300053289.,Block printing (relief printing process),y,relief-printing,,,
http://vocab.getty.edu/aat/300053436.,Pochoir (technique),y,pochoir,process-technique,Pochoir,
http://vocab.getty.edu/aat/300121295.,Limited editions.,n,,,,
http://vocab.getty.edu/aat/300178594.,Art photography.,y,photography,,,
http://vocab.getty.edu/aat/300183668.,Construction paper.,y,construction-paper,material,Construction paper,
http://vocab.getty.edu/aat/300197601.,Envelopes.,y,envelope,enclosure,Envelope,
http://vocab.getty.edu/aat/300202344.,Hand binding.,y,hand-binding,process-technique,Hand binding,
http://vocab.getty.edu/aat/300231732.,Printed textile materials.,y,textile,material,Textile,
http://vocab.getty.edu/aat/300239001.,Stamping (marking),y,stamping,process-technique,Stamping,
